ds;y;High;Low;Close;Adj Close;Volume
2017-07-18;8831.202148;8872.397461;8786.916992;8830.171875;5751.753906;148677
2017-07-19;8820.903320;8952.727539;8813.694336;8952.727539;5831.583984;122647
2017-07-20;8948.608398;9007.311523;8506.790039;8661.272461;5641.737305;285529
2017-07-21;8649.943359;8703.497070;8538.716797;8638.615234;5626.979004;408648
2017-07-24;8620.077148;8841.500977;8620.077148;8841.500977;5759.134277;338683
2017-07-25;8851.799805;8973.325195;8829.142578;8934.189453;5819.508789;767426
2017-07-26;8919.771484;8984.653320;8869.307617;8904.323242;5800.054688;283440
2017-07-27;8934.189453;9131.926758;8913.591797;9129.866211;5946.967773;246557
2017-07-28;9104.119141;9161.792969;8978.474609;9094.850586;5924.158691;270508
2017-07-31;9089.701172;9227.705078;9089.701172;9196.808594;5990.572266;196068
2017-01-08;9227.705078;9361.588867;9177.241211;9325.542969;6074.426758;219647
2017-02-08;9289.498047;9451.188477;9289.498047;9415.142578;6132.790039;229852
2017-03-08;9433.680664;9471.786133;9314.214844;9366.738281;6101.260254;220011
2017-04-08;9354.379883;9387.335938;9279.199219;9370.858398;6103.943848;112546
2017-07-08;9371.887695;9546.966797;9370.858398;9546.966797;6218.656250;203329
2017-08-08;9536.667969;9557.265625;9403.814453;9474.875977;6171.697754;163739
2017-09-08;9524.309570;9572.713867;9485.174805;9545.937500;6217.987305;150973
2017-10-08;9529.458984;9565.504883;9405.874023;9454.278320;6158.281250;144316
2017-11-08;9335.841797;9370.858398;9186.509766;9268.900391;6037.530762;242097
2017-08-14;9305.975586;9387.335938;9252.421875;9320.393555;6071.072266;112239
2017-08-15;9320.393555;9357.469727;9104.119141;9185.479492;5983.193359;289524
2017-08-16;9155.613281;9159.733398;8873.426758;8985.683594;5853.050781;585135
2017-08-17;8980.534180;9108.239258;8961.996094;9029.968750;5881.896484;161991
2017-08-18;8993.922852;9185.479492;8960.966797;9164.882813;5969.776855;254101
2017-08-21;9190.628906;9297.736328;9176.210938;9274.049805;6040.885742;192618
2017-08-22;9329.663086;9369.828125;9294.647461;9342.021484;6085.160645;157894
2017-08-23;9340.991211;9402.784180;9324.513672;9402.784180;6124.739258;242884
2017-08-24;9416.172852;9495.473633;9368.797852;9495.473633;6185.115234;208544
2017-08-25;9355.410156;9484.144531;9189.599609;9423.381836;6138.155762;348585
2017-08-28;9423.381836;9566.535156;9377.037109;9566.535156;6231.403320;131889
2017-08-29;9572.713867;9756.032227;9496.502930;9756.032227;6354.836914;296500
2017-08-30;9775.599609;9907.423828;9691.150391;9783.838867;6372.949219;271463
