ds;y;High;Low;Close;Adj_Close;Volume
2017-10-09;3060.000000;3069.500000;3039.500000;3052.500000;2275.072021;427878
2017-10-10;3053.500000;3053.500000;3007.000000;3037.500000;2263.892334;539005
2017-10-11;3042.000000;3059.000000;3036.000000;3040.000000;2265.755615;409649
2017-10-12;3040.500000;3046.000000;3016.500000;3035.000000;2262.028809;234405
2017-10-13;3040.000000;3040.000000;3009.000000;3018.000000;2249.358643;479870
2017-10-16;3033.500000;3033.500000;3002.000000;3020.000000;2250.849121;425769
2017-10-17;3023.500000;3028.000000;2977.000000;3003.000000;2238.178955;547549
2017-10-18;3008.000000;3021.500000;2997.000000;3011.000000;2244.141602;406373
2017-10-19;3018.500000;3018.500000;2975.500000;2985.000000;2224.763184;419569
2017-10-20;2985.000000;2985.000000;2985.000000;2985.000000;2224.763184;0
2017-10-23;3000.500000;3008.000000;2983.000000;2997.000000;2233.706787;394546
2017-10-24;2995.000000;3026.000000;2995.000000;3018.000000;2249.358643;338781
2017-10-25;3029.000000;3046.000000;3005.000000;3005.000000;2239.669922;622842
2017-10-26;3005.000000;3025.000000;2990.500000;2996.000000;2232.961670;523980
2017-10-27;3009.500000;3067.000000;3009.500000;3064.500000;2284.015625;723524
2017-10-30;3067.500000;3097.500000;3041.000000;3058.000000;2279.171143;819780
2017-10-31;3063.500000;3134.000000;3060.000000;3096.000000;2307.493164;1026702
2017-11-01;3110.000000;3157.000000;3101.500000;3144.500000;2343.641113;734316
2017-11-02;3142.000000;3150.000000;3125.000000;3150.000000;2347.740234;386501
2017-11-03;3155.000000;3203.000000;3155.000000;3168.500000;2361.528564;633324
2017-11-07;3211.000000;3365.000000;3210.000000;3325.000000;2478.170410;1602029
2017-11-08;3317.000000;3386.000000;3311.000000;3336.000000;2486.368408;606331
2017-11-09;3346.000000;3373.000000;3286.000000;3368.000000;2510.218506;872738
2017-11-10;3361.500000;3368.000000;3322.000000;3344.500000;2492.703857;569603
2017-11-13;3344.500000;3415.000000;3323.500000;3326.000000;2478.915527;878876
2017-11-14;3318.500000;3359.000000;3305.000000;3325.000000;2478.170410;879020
2017-11-15;3322.000000;3330.000000;3276.500000;3296.000000;2456.555908;604363
2017-11-16;3325.500000;3368.000000;3289.000000;3304.000000;2462.518311;582543
2017-11-17;3293.500000;3360.000000;3293.000000;3304.500000;2462.891357;331875
2017-11-20;3296.500000;3316.500000;3262.500000;3281.000000;2445.376221;226459
2017-11-21;3290.000000;3327.500000;3279.500000;3319.500000;2474.070801;361090
2017-11-22;3330.000000;3369.000000;3311.500000;3369.000000;2510.964111;471462
2017-11-23;3374.500000;3380.000000;3334.500000;3380.000000;2519.162109;341398
2017-11-24;3388.000000;3420.000000;3371.500000;3395.000000;2530.342285;356011
2017-11-27;3389.500000;3413.500000;3353.500000;3365.000000;2507.982910;396195
2017-11-28;3368.500000;3370.000000;3298.500000;3343.000000;2491.585938;496486
2017-11-29;3342.000000;3345.000000;3271.000000;3308.500000;2465.872559;701630
2017-11-30;3305.500000;3335.000000;3262.500000;3292.500000;2453.947510;783625
2017-12-01;3290.000000;3353.000000;3267.000000;3344.000000;2492.331055;398617
2017-12-04;3344.000000;3392.500000;3303.500000;3390.500000;2526.988281;612226
2017-12-05;3378.000000;3405.000000;3352.000000;3403.000000;2536.304688;414405
2017-12-06;3390.000000;3403.500000;3372.000000;3403.000000;2536.304688;443898
2017-12-07;3390.000000;3396.000000;3360.000000;3374.500000;2515.063232;421847
2017-12-08;3374.500000;3393.000000;3370.500000;3388.500000;2525.497559;377371
2017-12-11;3395.000000;3440.000000;3390.000000;3432.500000;2558.291260;604251
2017-12-12;3445.000000;3473.500000;3426.500000;3473.500000;2588.849121;509876
